"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"80","Brett Smith (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Hunter Cantwell (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Erik Ainge (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"102","Brett Rypien (FA)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.0%"
"102","Will Grier (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"104","Sam Ehlinger (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"104","Desmond Ridder (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"104","Jeff Driskel (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"104","Trevor Siemian (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"108","Logan Woodside (FA)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"109","Deshaun Watson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.3%"
"110","Nick Mullens (JAC)","3","3","100.0","19","6.3","0","0","0","12","-8","0","0","5","-0.1","0.0","1.2%"
"110","Jarrett Stidham (DEN)","0","0","0","0","0","0","0","0","1","-1","0","0","1","-0.1","-0.1","4.1%"
"110","Kedon Slovis (ARI)","1","2","50.0","-2","-1.0","0","0","0","0","0","0","0","2","-0.1","-0.1","0.1%"
"110","Adrian Martinez (SF)","0","0","0","0","0","0","0","0","1","-1","0","0","1","-0.1","-0.1","0.0%"
"114","Kyle Allen (BUF)","0","2","0.0","0","0.0","0","0","0","3","-3","0","0","4","-0.3","-0.1","0.7%"
"115","Jimmy Garoppolo (LAR)","0","0","0","0","0","0","0","0","9","-10","0","0","5","-1.0","-0.2","1.8%"
"116","Jalen Milroe (SEA)","0","0","0","0","0","0","0","0","3","4","0","1","4","-1.6","-0.4","13.3%"
""
""
