"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"287","Ja'seem Reed (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"288","DJ Turner (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"289","Kendric Pryor (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"289","Dennis Houston (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"289","Irvin Charles (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"289","Lance McCutcheon (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"293","Kaden Davis (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.1%"
"293","Justin Shorter (LV)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","6.2%"
"295","A.T. Perry (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"296","Jacoby Jones (WAS)","1","0","1","25","25.0","1","0","0","0","0","0","2","0.0","0.0","0.0%"
"297","Danny Gray (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"297","Jalen Virgil (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"299","Jason Brownlee (KC)","1","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"299","Dominic Lovett (DET)","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.6%"
"301","Isaiah Neyor (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"302","Maurice Alexander (CHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.9%"
"302","Jacob Cowing (SF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"304","Johnny Wilson (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"304","Trey Palmer (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.8%"
"306","Jalen Cropper (FA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"307","Elijah Cooks (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"307","Tank Dell (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42.5%"
"307","Colton Dowell (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"307","Tyler Scott (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.4%"
"307","Patrick Edwards (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"307","Kenny McKinley (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"307","Nate Hughes (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"307","Rod Harper (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"307","Marko Mitchell (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"307","Maurice Purify (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"307","Mike Furrey (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"307","Chris Henry (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
